Time,ICM_acceleration_x,ICM_acceleration_y,ICM_acceleration_z,ICM_gyroscope_x,ICM_gyroscope_y,ICM_gyroscope_z,ICM_magnetometer_x,ICM_magnetometer_y,ICM_magnetometer_z,BMP_altitude,BMP_pressure,BMP_temperature,Kalman_altitude,Kalman_velocity,Kalman_acceleration,State,servo_Throttle,ACS_state
1646105162,78.4508058,3.416525769,1.963245361,-1.200679973,0.205176116,-0.105252683,-51,-26.1,-81.45,49.61078642,986.0140584,11.24376533,49.09109507,76.97574617,68.65551989,OnGround,0.147620984,ACS_Inactive
1646105162,78.4508058,1.599326709,5.781997009,-1.229990847,0.274989288,-0.119375195,-51,-24.15,-80.4,53.2888501,985.4403426,11.24830056,53.09765868,80.49867267,68.6553201,PoweredAscent,0.147620984,ACS_Inactive
1646105162,78.4508058,1.833958472,4.963180042,-1.241182272,0.386903533,-0.114312408,-51.75,-22.2,-78.9,58.47725392,984.8228651,11.24376533,57.91566512,84.62927399,68.65548758,PoweredAscent,0.147620984,ACS_Inactive
1646105162,78.4508058,1.060631335,3.596090894,-1.182560524,0.401292508,-0.081537521,-52.65,-21.6,-77.25,62.62550988,984.481021,11.24376533,62.37860348,88.24451302,68.65534375,PoweredAscent,0.147620984,ACS_Inactive
1646105162,78.4508058,0.497993945,0.845153186,-0.921427285,0.371182247,-0.018652374,-52.8,-18.6,-73.65,68.76255602,983.8078429,11.24830056,67.96534704,92.75896597,68.65565043,PoweredAscent,0.147620984,ACS_Armed
1646105162,78.4508058,0.069431848,0.399831677,-0.929954085,0.343470148,-0.046098011,-51.9,-19.95,-71.25,74.33340812,982.9917533,11.24830056,73.69677822,97.19110279,68.65568646,PoweredAscent,0.147620984,ACS_Armed
1646105162,78.4508058,1.929726538,-0.938527051,-0.972854546,0.301102612,-0.026113324,-52.5,-19.8,-72.15,79.71823708,982.35186,11.25737101,79.20635597,101.2465262,68.65560046,PoweredAscent,0.147620984,ACS_Armed
1646105162,78.4508058,1.271321082,-4.738125085,-0.98404597,0.11884227,-0.012523737,-53.85,-18.45,-70.05,86.33407615,981.5904728,11.26190623,85.4899826,105.8479022,68.65578394,PoweredAscent,0.147620984,ACS_Armed
1646105162,78.4508058,0.641646045,-7.199364392,-0.827366027,-0.002931087,0.012790199,-52.2,-18,-69.3,94.09473159,980.8070506,11.24830056,92.87825602,111.2630042,68.6561441,PoweredAscent,0.147620984,ACS_Armed
1646105163,78.4508058,-0.134075293,-7.678204724,-0.785264954,-0.11990812,-0.036771823,-53.1,-17.25,-68.55,97.9770567,980.2668917,11.24830056,98.04317264,114.3654023,68.65538751,PoweredAscent,0.147620984,ACS_Armed
1646105163,78.4508058,0.299275208,-1.185129822,-0.800986241,-0.222229715,-0.027712099,-52.8,-17.1,-67.95,103.6593167,979.6709051,11.24376533,103.5896815,117.6916015,68.65518914,PoweredAscent,0.147620984,ACS_Armed
1646105163,78.4508058,0.495599744,-1.446097803,-0.741032181,-0.180395105,-0.115911183,-54.15,-16.05,-67.05,110.2924384,978.8989301,11.25737101,109.9784974,121.5804378,68.65528639,PoweredAscent,0.147620984,ACS_Armed
1646105163,78.4508058,0.940921252,3.454832996,-0.709323145,-0.102588058,-0.049828485,-53.25,-17.1,-66.9,117.4029748,978.049381,11.25283579,116.803418,125.7947776,68.65550884,PoweredAscent,0.147620984,ACS_Armed
1646105163,78.4508058,2.4516625,4.984727856,-0.652300172,0.002398162,-0.04929556,-51.45,-15.3,-65.55,124.6124342,977.2110001,11.26190623,123.9438226,130.1156027,68.65563472,PoweredAscent,0.147620984,ACS_Armed
1646105163,78.4508058,0.651222852,1.185129822,-0.502015328,0.086067384,-0.037571211,-53.4,-14.85,-64.5,132.8743027,976.4499481,11.26190623,131.971871,134.9996638,68.65586889,PoweredAscent,0.147620984,ACS_Armed
1646105163,78.4508058,-1.934514941,3.660734338,-0.53425729,0.112713633,0.009059725,-52.05,-13.5,-63.9,140.3790658,975.5123977,11.27097666,139.6433424,139.4267002,68.65582171,PoweredAscent,0.147620984,ACS_Armed
1646105163,78.4508058,-4.235342737,-3.457227197,-0.540918852,0.106584995,0.091929559,-52.5,-13.5,-63.45,148.5561332,974.486751,11.27097666,147.7117003,144.0247153,68.65586897,PoweredAscent,0.147620984,ACS_Armed
1646105163,78.4508058,-0.232237561,-1.623268726,-0.560903538,0.114045945,0.151883618,-52.8,-13.95,-61.95,154.9326454,973.6483979,11.28004707,154.8998722,147.4400323,68.65534976,PoweredAscent,0.147620984,ACS_Armed
1646105163,78.4508058,-0.658405457,-5.973533142,-0.57076265,0.057289435,0.141758044,-52.2,-15.75,-60,164.074887,972.6667192,11.29365267,163.2704607,151.9783975,68.65566908,PoweredAscent,0.147620984,ACS_Armed
1646105163,78.4508058,1.958456958,-2.975992664,-0.752223605,-0.06101991,0.089797859,-52.05,-13.5,-61.65,172.1749676,971.7953487,11.28458227,171.5453379,156.2198664,68.65566755,PoweredAscent,0.147620984,ACS_Armed
1646105163,78.4508058,0.502782349,-3.545812659,-0.710388994,-0.092196021,-0.040768761,-52.2,-15.3,-60.3,178.5642346,970.703369,11.29365267,178.8233512,159.1443934,68.65506892,PoweredAscent,0.147620984,ACS_Armed
1646105163,77.90492782,2.42293208,0.835576379,-0.587549787,-0.087666159,0.00746095,-53.55,-14.25,-58.95,187.7273083,969.7548138,11.30725824,187.2183759,163.1812991,68.31799169,PoweredAscent,0.147620984,ACS_Armed
1646105163,75.29285381,3.24414325,3.787627026,-0.653366022,0.024248086,-0.010392037,-51.9,-14.1,-58.8,196.9937087,968.8503619,11.31179342,196.2824973,167.5527817,66.57502792,PoweredAscent,0.147620984,ACS_Armed
1646105163,73.44931853,0.63446344,2.035071411,-0.677347646,0.070879022,-0.0085268,-53.55,-13.95,-57.9,208.9471172,967.8355878,11.32993412,207.351666,173.4552874,64.77054931,PoweredAscent,0.147620984,ACS_Armed
1646105163,72.23306409,0.311246216,-0.845153186,-0.423142432,-0.05036141,0.011457887,-52.65,-12.9,-56.25,215.4557447,966.74359,11.32539895,215.4886388,176.3931778,63.32846897,PoweredAscent,0.147620984,ACS_Armed
1646105163,64.4614855,-0.612915625,-4.273649963,-0.530260352,-0.045032161,0.083402759,-52.5,-14.25,-55.65,225.2264767,965.5743312,11.33900445,224.7048478,180.0546694,57.97491201,PoweredAscent,0.147620984,ACS_Armed
1646105163,27.72964363,4.424484668,-1.810016455,-0.558238914,-0.074875959,-0.095393571,-52.05,-12.75,-55.65,234.3348627,964.6146737,11.34807477,234.0690923,182.6260536,33.22835018,PoweredAscent,0.147620984,ACS_Armed
1646105163,8.647856396,-2.908955017,-5.50905802,-0.738101093,0.005595712,-0.034107199,-52.65,-14.1,-54.3,246.8129699,963.1365635,11.36168022,245.2881862,186.0863032,11.98365316,PoweredAscent,0.147620984,ACS_Armed
1646105163,-5.118803149,-4.903325,0.976834277,-0.429004607,0.069813172,-0.028245024,-52.5,-14.7,-53.7,255.1716313,962.1988567,11.3707505,254.7453996,186.8702996,-4.640107758,PoweredAscent,0.147620984,ACS_Armed
1646105163,-9.866505042,1.896207715,-8.298302954,-0.5782236,0.166539055,0.041035223,-52.8,-14.25,-52.95,264.9817168,961.040507,11.38889103,264.5763693,187.0527152,-13.92406127,Burnout,0.147620984,ACS_Armed
1646105164,-9.050082275,11.58075343,11.04205806,-0.708257295,0.092462484,-0.103920371,-52.5,-13.95,-51.15,276.2440403,959.7499147,11.39796128,275.1683028,188.0865325,-16.9652005,Burnout,0.147620984,ACS_Armed
1646105164,-8.959102612,5.549759448,-2.841917371,-0.681877508,-0.008793262,0.003730475,-52.65,-15.3,-49.05,283.279006,958.9335272,11.39342616,283.5218955,186.8638971,-18.07146671,Burnout,-1,ACS_Active
1646105164,-11.76510696,4.908113403,16.18480322,-0.923558985,0.116444107,-0.069813172,-51.45,-17.25,-51,292.7294095,957.8303422,11.41156662,292.5863381,186.1827589,-20.22797225,Burnout,-1,ACS_Active
1646105164,-8.343792786,3.675099548,4.230554333,-0.945142447,0.005595712,-0.102854521,-51.9,-17.7,-51.75,303.0545629,956.8374384,11.41610173,302.4056362,186.3369035,-18.9368619,Burnout,-1,ACS_Active
1646105164,-9.18655177,3.471592407,3.21541283,-0.779669241,0.130033694,0.018119449,-51.9,-17.25,-50.55,311.558899,955.656885,11.41610173,311.3937636,185.7202446,-18.96487585,Burnout,-1.004066694,ACS_Active
1646105164,-11.45864915,2.499546533,1.086967554,-0.801252703,0.038370598,-0.092728946,-52.5,-18.6,-48.45,319.6815495,954.6421432,11.42517194,319.8991736,184.4073114,-20.38006646,Burnout,-1.004066694,ACS_Active
1646105164,-7.055712292,-2.91374342,2.085349646,-0.733571231,-0.022116387,0.037038286,-52.05,-18.6,-47.4,331.5821267,953.5500739,11.44331231,330.4568633,185.3692158,-18.19856058,Burnout,-1.004066694,ACS_Active
1646105164,-8.645462195,1.781286035,-0.713472095,-0.573427275,0.018119449,0.007727412,-50.4,-19.95,-46.05,339.4313141,952.5350589,11.44331231,339.3126192,184.7085808,-18.34848869,Burnout,-1.004066694,ACS_Active
1646105164,-7.939172705,0.667982263,1.67354696,-0.75382238,0.180395105,-0.000266462,-50.55,-20.55,-45.9,348.8324215,951.5424174,11.45238248,348.7503236,183.9357893,-17.9692641,Burnout,-1.004066694,ACS_Active
1646105164,-5.640739111,3.466804004,2.477998718,-0.76554673,0.071411947,0.007727412,-51.9,-21.15,-45,357.3760277,950.4720632,11.45691756,357.3719773,183.1447107,-16.40395991,Burnout,-1.004066694,ACS_Active
1646105164,-8.080430603,-5.518634827,-4.819527942,-0.725577356,-0.015721287,0.064750385,-50.7,-21.15,-43.8,366.2103055,949.5343961,11.46598771,366.1091308,182.5166476,-17.3138142,Burnout,-1.004066694,ACS_Active
1646105164,-7.44117876,3.818751648,1.541865869,-0.828698339,0.11564472,-0.026646249,-36.6,-20.85,-42.3,375.9320686,948.5081009,11.46145263,375.5403704,182.3391489,-17.26606794,Burnout,-1.004066694,ACS_Active
1646105164,-6.617573389,1.460463013,1.364694946,-0.656563572,0.106851458,-0.007194487,-17.55,-21.6,-39.75,385.079249,947.4384865,11.47052277,384.702651,182.1663377,-16.73883127,Burnout,-1.004066694,ACS_Active
1646105164,-7.264007837,1.824381665,-0.167594116,-0.657629422,0.148952531,0.000799387,-4.2,-18,-35.55,393.940544,946.1807697,11.47052277,393.6780679,181.8067242,-16.9370404,Burnout,-1.004066694,ACS_Active
1646105164,-8.255207324,1.458068811,1.259350073,-0.697598795,0.061286372,-0.053825423,13.05,-12.3,-28.95,405.4396251,945.0999632,11.48412796,404.3254155,182.8289184,-17.62475948,Burnout,-1.004066694,ACS_Active
1646105164,-7.824251025,3.119644763,0.509964954,-0.69813172,0.05142726,0.11351302,24.15,-8.4,-24.15,417.051009,943.7432312,11.4795929,415.5214428,184.5217993,-17.62083919,Burnout,-1.004066694,ACS_Active
1646105164,-6.904877588,0.378283862,0.610521423,-0.756220543,0.058088823,0.023448699,36,0.9,-15.9,424.9627079,942.6624735,11.4795929,424.659008,184.2120767,-17.05195611,Burnout,-1.004066694,ACS_Active
1646105164,-7.316680273,0.098162268,-0.198718738,-0.651234322,0.12310567,0.090597246,42.9,9.6,-6.9,436.9871411,941.4827629,11.48412796,435.7038752,185.5296928,-17.08849927,Burnout,-1.004066694,ACS_Active
1646105164,-8.015787158,1.12527478,-1.345541333,-0.69386832,0.10711792,0.060486985,45.9,19.8,0.15,446.2844011,940.445057,11.48412796,445.5800729,185.8775385,-17.53493274,Burnout,-1.004066694,ACS_Active
1646105164,-7.230489014,2.257732166,2.602497205,-0.658162347,-0.034640124,0.008260337,45,29.1,7.8,457.0570601,939.1551189,11.50226817,456.032405,186.7478953,-17.21990639,Burnout,-1.004066694,ACS_Active
1646105164,-7.594407666,-0.644040247,-2.810792749,-0.483096492,0.063418072,0.028511486,42.45,35.55,13.95,467.5491872,938.0744513,11.50226817,466.6057744,187.4913866,-17.32452666,Burnout,-1.004066694,ACS_Active
1646105165,-5.978321545,-0.452504114,-2.691082666,-0.541185314,0.0063951,0.036771823,32.4,42.45,20.25,479.9146619,936.5413917,11.49773312,478.2502792,189.4517282,-16.3652259,Burnout,-1.004066694,ACS_Active
1646105165,-6.87854137,3.457227197,0.672770667,-0.704793282,0.079139359,-0.013323124,18.3,51.15,27.3,489.345691,935.6258448,11.50680321,488.5230895,190.0323438,-16.55573542,Burnout,-1.004066694,ACS_Active
1646105165,-7.242460022,-0.51954176,-4.386177441,-0.718649332,0.044232773,0.024514549,8.85,54,28.95,500.854229,934.390871,11.50680321,499.6740674,191.198816,-16.85315871,Burnout,-1.004066694,ACS_Active
1646105165,-6.315903979,1.862688892,-1.996764185,-0.684009208,-0.034640124,0.015721287,-9.3,55.65,31.65,509.4146112,933.222088,11.50226817,509.1181562,190.912707,-16.39472578,Burnout,-1.004066694,ACS_Active
1646105165,-7.096413721,1.508347046,-0.902614026,-0.593944887,0.130833082,-0.010924962,-27.3,55.65,30.45,524.2021848,932.096706,11.51587329,521.947627,193.8437691,-16.70071065,Burnout,-1.004066694,ACS_Active
1646105165,-9.938331091,3.782838623,11.52329259,-0.622722836,0.12310567,0.009059725,-43.5,55.8,31.05,535.4566695,930.5082159,11.51587329,533.9167697,195.5601077,-18.57442838,Burnout,-1.004066694,ACS_Active
1646105165,-6.962338428,1.273715283,-0.593762012,-0.443660043,0.091130171,-0.055424198,-61.95,47.7,25.65,545.2378006,929.2063865,11.52040832,544.4359284,196.0476165,-17.45137465,Burnout,-1.004066694,ACS_Active
1646105165,-7.149086157,1.235408057,1.043871924,-0.644839222,0.176131705,0.065016847,-78.45,43.8,21.9,557.1016894,927.9167969,11.52947837,555.8203803,197.3483007,-17.13750958,Burnout,-1.004066694,ACS_Active
1646105165,-7.067683301,2.561795776,-0.016759412,-0.679745808,-0.012790199,0.007993875,-88.8,33.6,18.15,570.7693286,926.5920781,11.53854842,568.7579219,199.889099,-16.9667959,Burnout,-1.004066694,ACS_Active
1646105165,-6.016628772,0.639251843,-2.990357874,-0.45511793,0.116444107,0.104186833,-98.85,24.3,10.5,580.4965965,925.3466515,11.54308344,579.6170177,200.568198,-16.25278177,Burnout,-1.004066694,ACS_Active
1646105165,-6.485892297,1.754949817,-2.827552161,-0.467108742,0.021849924,0.06954671,-105.75,15.75,4.8,592.1072519,924.1991619,11.54308344,590.9624203,201.690833,-16.26990329,Burnout,-1.004066694,ACS_Active
1646105165,-6.981492041,2.047042419,-1.666364355,-0.545182252,-0.005595712,0.005862175,-108.3,2.1,-4.2,602.1411841,923.051654,11.55215346,601.5821197,201.8356043,-16.58311605,Burnout,-1.004066694,ACS_Active
1646105165,-6.212953308,0.134075293,-1.663970154,-0.672551321,0,0.034906586,-106.65,-7.95,-11.7,612.1848871,922.123685,11.55668847,611.7534499,201.7829105,-16.22786216,Burnout,-1.004066694,ACS_Active
1646105165,-5.353434912,0.347159241,2.578555188,-0.588349175,-0.013589587,0.020784074,-101.1,-18,-16.8,621.5372146,921.0432299,11.57029347,621.4046064,201.2612685,-15.56115497,Burnout,-1.004066694,ACS_Active
1646105165,-5.159504578,0.567425793,-0.12928689,-0.470572755,0.045298623,0.004529862,-89.85,-28.5,-23.7,633.4974512,919.6646399,11.58389844,632.6076482,202.0135096,-15.18612143,Burnout,-1.004066694,ACS_Active
1646105165,-6.56250675,-0.210689746,-3.191470813,-0.527062802,0.069813172,0.090330784,-82.2,-33.15,-25.95,641.7856309,918.7711429,11.58843342,641.8809628,201.1241218,-15.91064396,Burnout,-1.004066694,ACS_Active
1646105165,-6.189011292,0.452504114,-1.264138477,-0.409819307,0.032241961,0.11990812,-63.75,-39.3,-29.55,649.8812374,917.6666292,11.59750338,650.3876695,199.5447292,-15.95682515,Burnout,-1.004066694,ACS_Active
1646105165,-5.276820459,1.108515369,1.570596289,-0.490823904,0.000799387,-0.009326187,-46.2,-43.65,-29.25,658.6780752,916.7059017,11.61564326,659.1344989,198.0335264,-15.41067518,Burnout,-1.004066694,ACS_Active
1646105165,-5.197811804,0.339976636,-2.025494604,-0.432468619,0.147087294,0.017586524,-28.8,-43.05,-29.4,668.6923329,915.6023489,11.62471318,668.5777669,197.5095721,-15.15284829,Burnout,-1.004066694,ACS_Active
1646105165,-6.294356165,2.248155359,2.664746448,-0.475102617,0.102854521,0.013056662,-10.8,-42.3,-26.7,676.1047836,914.8620492,11.63378309,676.7225283,195.7672708,-15.73255287,Burnout,-1.004066694,ACS_Active
1646105165,-5.815515833,0.672770667,-3.107673755,-0.604869849,0.133231244,0.010392037,5.4,-38.25,-21.9,687.6345758,913.7909612,11.64738792,687.0723004,195.9549504,-15.65725082,Burnout,-1.004066694,ACS_Active
1646105166,-5.738901379,0.466869324,0.469263525,-0.474036767,0.017320062,0.073810109,19.05,-33,-17.55,695.156241,912.5770763,11.6564578,695.540855,194.5903116,-15.58177531,Burnout,-1.004066694,ACS_Active
1646105166,-5.839457849,-0.967257471,-2.762908716,-0.53425729,0.131366007,-0.015721287,31.65,-25.5,-12,702.5989675,911.8598775,11.67006258,703.3405275,192.6385264,-15.61532788,Burnout,-1.004066694,ACS_Active
1646105166,-4.927267017,-1.556231079,0.550666382,-0.444992356,0.04929556,0.040768761,40.05,-17.25,-3.75,712.1401867,910.5577673,11.68366734,712.3353716,191.5674613,-15.06402378,Burnout,-1.004066694,ACS_Active
