Time,ICM_acceleration_x,ICM_acceleration_y,ICM_acceleration_z,ICM_gyroscope_x,ICM_gyroscope_y,ICM_gyroscope_z,ICM_magnetometer_x,ICM_magnetometer_y,ICM_magnetometer_z,BMP_altitude,BMP_pressure,BMP_temperature,Kalman_altitude,Kalman_velocity,Kalman_acceleration,State,servo_Throttle,ACS_state,Projected_Apogee,Apogee_Error,Alpha,target_Throttle
1648852471.52788,78.4508058,1.513135449,4.498704919,1.260634033,0.019718224,0.05782236,-73.8,51.3,-15.9,1.463245571,994.8137686,15.30602328,1.773621994,7.623287026,64.51534597,OnGround,0.147620984,ACS_Inactive,0,0,0,0
1648852471.57464,78.4508058,6.217741711,31.0049115,0.574226663,0.0063951,-0.026379786,-73.5,52.05,-17.4,2.40681935,995.6490215,15.31055559,2.33262507,10.83608984,67.07383756,OnGround,0.147620984,ACS_Inactive,0,0,0,0
1648852471.62142,78.4508058,-7.694964136,-10.86728134,0.599274137,0.050894335,-0.013589587,-73.65,49.2,-17.55,0.047371522,994.9030057,15.30602328,1.093574015,12.28835961,68.05035091,OnGround,0.147620984,ACS_Inactive,0,0,0,0
1648852471.67040,78.4508058,-5.295974072,30.02089462,0.483629417,-0.340805523,-0.061286372,-73.65,49.95,-18.3,5.144273267,995.092235,15.30602328,3.918577595,17.69670493,68.42489659,OnGround,0.147620984,ACS_Inactive,0,0,0,0
1648852471.71715,78.4508058,1.867477295,-4.606443994,0.417013795,-0.094061258,-0.065816235,-73.05,48.9,-18.15,5.615591487,994.5689355,15.31508789,5.325708579,21.37755834,68.56729807,OnGround,0.147620984,ACS_Inactive,0,0,0,0
1648852471.76398,78.4508058,-4.489128113,-7.242460022,0.46790813,-0.002931087,-0.138560494,-74.85,47.55,-19.05,7.409744956,994.4686427,15.31508789,7.041989273,25.1927824,68.62173993,OnGround,0.147620984,ACS_Inactive,0,0,0,0
1648852471.81290,78.4508058,-1.884236707,-7.249642627,0.444192968,-0.047430323,-0.183326192,-74.25,48.15,-19.65,9.298003813,994.3684946,15.31055559,8.955254864,29.12738017,68.64253012,OnGround,0.147620984,ACS_Inactive,0,0,0,0
1648852471.85973,78.4508058,1.024718311,5.676652136,0.321353761,-0.046098011,-0.247277189,-72,48.6,-20.4,12.69662004,993.8897336,15.31962019,11.8570881,33.72789963,68.65079707,OnGround,0.147620984,ACS_Inactive,0,0,0,0
1648852471.90656,78.4508058,0.653617053,-0.237025964,0.338940285,-0.053026035,-0.274456363,-72.15,49.2,-19.8,14.58584838,993.4775329,15.31055559,14.19383348,37.58522399,68.65364995,OnGround,0.147620984,ACS_Inactive,0,0,0,0
1648852471.95563,78.4508058,-2.353500232,0.11492168,0.318955599,-0.039169986,-0.300303225,-72.75,50.1,-20.7,16.75937536,993.1881396,15.30602328,16.52692601,41.34617168,68.65464229,OnGround,0.147620984,ACS_Inactive,0,0,0,0
1648852472.00284,78.4508058,-2.731784094,1.089361755,0.356793272,-0.056490048,-0.311761112,-71.4,49.95,-20.25,20.06743579,992.9097022,15.31508789,19.51631942,45.50229447,68.65523362,OnGround,0.147620984,ACS_Inactive,0,0,0,0
1648852472.04973,78.4508058,-0.818816968,2.410961072,0.06848086,-0.025580399,-0.304033699,-72.75,50.1,-21.15,23.47055865,992.5534867,15.30602328,22.83386799,49.76799545,68.65550958,OnGround,0.147620984,ACS_Inactive,0,0,0,0
1648852472.09886,78.4508058,-0.193930334,4.017470386,0.130300157,-0.028245024,-0.2976386,-72,50.85,-21.15,25.07754306,991.9743653,15.31055559,25.18090928,52.9661453,68.65511685,OnGround,0.147620984,ACS_Inactive,0,0,0,0
1648852472.14579,78.4508058,-4.838681555,-0.529118567,0.037038286,0.0042634,-0.277920376,-72.15,51.15,-21.75,30.27931124,991.7293995,15.31508789,29.35422401,57.71742538,68.6556657,OnGround,0.147620984,ACS_Inactive,0,0,0,0
1648852472.19288,78.4508058,-5.59524928,-0.950498059,-0.146021444,0.032774886,-0.235819302,-72.3,51.3,-21.15,34.91643796,991.150395,15.30602328,33.90669047,62.61184901,68.65592603,OnGround,0.147620984,ACS_Inactive,0,0,0,0
1648852472.24205,78.4508058,-2.195482922,2.825157959,-0.269393576,0.077540584,-0.178263405,-71.7,53.85,-21.3,37.94560921,990.7718194,15.31055559,37.62618645,66.5267693,68.65557392,OnGround,0.147620984,ACS_Inactive,0,0,0,0
1648852472.28884,78.4508058,-5.50905802,-1.127668982,-0.346667698,0.096192958,-0.112713633,-70.95,53.1,-21.3,43.62761552,990.3264406,15.30602328,42.60154791,71.43154909,68.65590658,OnGround,0.147620984,ACS_Inactive,0,0,0,0
1648852472.33574,78.4508058,-4.7596729,2.492363928,-0.491090366,0.102321596,-0.038903523,-70.95,54.3,-20.25,47.13322416,989.6138443,15.31055559,46.72985983,75.31331843,68.65560999,OnGround,0.147620984,ACS_Inactive,0,0,0,0
1648852472.38476,78.4508058,-6.514622717,-2.5953146,-0.614995424,0.089264934,0.024248086,-70.65,53.85,-20.55,51.30295193,989.135094,15.31508789,51.01204672,79.16827366,68.65543189,PoweredAscent,0.147620984,ACS_Inactive,0,0,0,0
1648852472.43157,78.4508058,-3.825934253,1.108515369,-0.665889759,0.06315161,0.076474734,-71.55,55.2,-18.9,57.65613603,988.5338508,15.31055559,56.61202225,84.10312541,68.65586343,PoweredAscent,0.147620984,ACS_Inactive,0,0,0,0
