Time,ICM_acceleration_x,ICM_acceleration_y,ICM_acceleration_z,ICM_gyroscope_x,ICM_gyroscope_y,ICM_gyroscope_z,ICM_magnetometer_x,ICM_magnetometer_y,ICM_magnetometer_z,BMP_altitude,BMP_pressure,BMP_temperature,Kalman_altitude,Kalman_velocity,Kalman_acceleration,State,servo_Throttle,ACS_state
1646088803.8449585,9.859322436523437,-0.16519991455078123,0.0383072265625,0.013323124427480917,0.013589586916030535,0.007194487190839696,-9.299999999999999,-25.65,-47.4,-0.2781094801064053,988.3479651231409,23.449847273761407,-0.18567965051917681,-0.007156843935674449,0.04218492960890409,OnGround,0.15,ACS_Inactive
1646088803.9093502,9.830592016601562,-0.1292868896484375,-0.11013327636718749,0.00959264958778626,0.009326187099236643,0.010125574564885496,-7.35,-24.9,-46.949999999999996,0.5021560512273461,988.3799891464008,23.458900165045634,0.2453940651781246,0.03708331490557586,0.03794834217145521,OnGround,0.15,ACS_Inactive
1646088803.9589663,9.868899243164062,-0.19153613281249998,-0.07422025146484375,0.0159877493129771,0.02105053659541985,0.003996937328244275,-7.35,-24.9,-47.4,-0.15773996962090428,988.3784029199397,23.472479477524757,-0.004327729097458044,0.007619953376931603,0.059538867541003,OnGround,0.14762098413989433,ACS_Inactive
1646088804.0106697,9.83777462158203,-0.17477672119140625,-0.13407529296874998,0.012523736961832063,0.012257274473282443,0.00159877493129771,-7.949999999999999,-24.3,-46.8,0.23582382554508663,988.3549382091649,23.49963801447302,0.14503471894792552,0.03625053299015555,0.04875526253236836,OnGround,0.14762098413989433,ACS_Inactive
1646088804.0582848,9.878476049804688,-0.1292868896484375,-0.023942016601562498,0.010658499541984735,0.00985911207633588,0.0018652374198473284,-9.9,-25.95,-47.25,0.6294250751829554,988.3994837221679,23.51321723894216,0.44681997704907517,0.10207953668826054,0.0698534522028718,OnGround,0.14762098413989433,ACS_Inactive
1646088804.1052573,9.775525378417969,-0.1580173095703125,-0.16280571289062498,0.009326187099236643,0.012257274473282443,0.00799387465648855,-7.8,-24.15,-45.9,-0.23065608608591368,988.3869539034531,23.50869083404541,0.027111294385835816,-0.0014994689176867082,0.01395807644186113,OnGround,0.14762098413989433,ACS_Inactive
1646088804.1555228,9.813832604980469,-0.19153613281249998,-0.12449848632812499,0.00639509972519084,0.013856049404580155,0.010392037053435116,-8.7,-24.75,-46.8,-0.23065608608591368,988.3306745061989,23.51321723894216,-0.13358986878868548,-0.049136097053528234,0.016394651293050448,OnGround,0.14762098413989433,ACS_Inactive
1646088804.2034826,9.883264453125,-0.1580173095703125,-0.05027823486328125,0.012523736961832063,0.008260337145038169,0.0034640123511450386,-8.549999999999999,-25.349999999999998,-45.9,0.4428352526224774,988.3181411105118,23.517743640579283,0.2252116610205139,0.07488002347017128,0.06046675075700143,OnGround,0.14762098413989433,ACS_Inactive
1646088804.2515645,9.794678991699218,-0.21068974609375,-0.05027823486328125,0.014655436870229008,0.013589586916030535,0.00639509972519084,-8.85,-23.7,-46.65,0.06284593384783992,988.3189399039115,23.51321723894216,0.12515053369478563,0.03762362927056561,0.02235037218242414,OnGround,0.14762098413989433,ACS_Inactive
1646088804.3006375,9.80665,-0.14125789794921875,-0.09816226806640624,0.010924962030534353,0.011724349496183208,0.00639509972519084,-9.299999999999999,-26.099999999999998,-46.199999999999996,-0.32394947966792187,988.3298763920034,23.522270038956776,-0.15508776815441755,-0.0799509898286968,0.01511132585870631,OnGround,0.14762098413989433,ACS_Inactive
1646088804.3481555,9.868899243164062,-0.19632453613281248,-0.1484405029296875,0.00959264958778626,0.008260337145038169,0.00479632479389313,-9.15,-25.2,-46.5,0.06284593384783992,988.3173414034521,23.517743640579283,-0.02005972234570852,-0.0157380537524463,0.05099950613652085,OnGround,0.14762098413989433,ACS_Inactive
1646088804.3954234,9.8449572265625,-0.19393033447265623,-0.15083470458984374,0.010392037053435116,0.010658499541984735,0.0034640123511450386,-8.85,-24.599999999999998,-47.4,-0.22384583739426875,988.3634846548592,23.522270038956776,-0.14799102034650588,-0.0745668326671564,0.049799972868827994,OnGround,0.14762098413989433,ACS_Inactive
1646088804.4446063,9.830592016601562,-0.1580173095703125,-0.16998831787109375,0.009059724610687023,0.013589586916030535,0.007460949679389314,-8.1,-24.15,-46.949999999999996,0.26307283070786613,988.3408128769311,23.51321723894216,0.10862133081549438,0.06432501535664994,0.040626956476479785,OnGround,0.14762098413989433,ACS_Inactive
1646088804.4921095,9.835380419921874,-0.11013327636718749,0.06464344482421874,0.012257274473282443,0.008260337145038169,0.007727412167938932,-8.85,-24.9,-46.199999999999996,0.35636364580307917,988.3064053811092,23.517743640579283,0.26532588825741127,0.1506584548670422,0.04003512856144198,OnGround,0.14762098413989433,ACS_Inactive
1646088804.5402696,9.90241806640625,-0.18435352783203124,-0.1005564697265625,0.014388974381679392,0.012257274473282443,-0.002398162396946565,-7.5,-25.95,-46.5,-0.03044617048585154,988.3173414034521,23.52679643407464,0.0821597997247073,0.04301157546430215,0.081097884370315,OnGround,0.14762098413989433,ACS_Inactive
1646088804.5898964,9.801861596679688,-0.19632453613281248,-0.11013327636718749,0.01119142451908397,0.01119142451908397,0.0061286372366412215,-8.7,-25.2,-46.8,0.35636364580307917,988.3173414034521,23.52679643407464,0.25557785307743947,0.15203216243600967,0.03478793152073232,OnGround,0.14762098413989433,ACS_Inactive
