Time,ICM_acceleration_x,ICM_acceleration_y,ICM_acceleration_z,ICM_gyroscope_x,ICM_gyroscope_y,ICM_gyroscope_z,ICM_magnetometer_x,ICM_magnetometer_y,ICM_magnetometer_z,BMP_altitude,Kalman_altitude,Kalman_velocity,Kalman_acceleration,State,servo_Throttle,ACS_state,Projected_Apogee,Apogee_Error,Alpha,target_Throttle
1646105166,-5.353434912,3.646369128,0.835576379,-0.47430323,0.025047474,0.076741197,-54.9,25.2,29.55,798.109139,793.0151764896368,14.08315320242271,-7.315346669411622,OnGround,0.14762098413989433,ACS_Inactive,0,0,0,0
1646105166,-5.497087012,0.308852014,-2.583343591,-0.420211344,-0.034906586,0.029843799,-71.4,19.65,24.75,807.9439914,802.2416915160577,14.083195243155718,-8.6574787254885,OnGround,0.14762098413989433,ACS_Inactive,0,0,0,0
1646105166,-6.366182214,2.401384265,2.97120426,-0.565166938,0.014655437,0.062885147,-85.5,13.35,18.3,815.1635396,810.2278328294044,14.083209707937304,-7.876871499846479,OnGround,0.14762098413989433,ACS_Inactive,0,0,0,0
1646105166,-5.789179614,0.12928689,-4.936843823,-0.552110276,0.027712099,0.007194487,-95.85,1.95,10.5,825.9355994,819.9357664573832,14.083216195674591,-8.982939475014483,OnGround,0.14762098413989433,ACS_Inactive,0,0,0,0
1646105166,-5.959167932,2.736572498,0.881066211,-0.255803989,0.098058196,-0.022649312,-102.45,-6,3.9,832.0439573,827.4190399403908,14.083218192601791,-7.794028723538466,OnGround,0.14762098413989433,ACS_Inactive,0,0,0,0
1646105166,-4.709394666,1.019929907,-3.756502405,-0.477234317,0.013323124,-0.002931087,-106.5,-17.7,-4.8,838.9695667,834.5576580657945,14.083218891985496,-8.400848693838494,OnGround,0.14762098413989433,ACS_Inactive,0,0,0,0
1646105166,-4.529829541,-0.584185205,0.093373865,-0.52892804,-0.071678409,0.030110261,-104.85,-28.5,-12.9,846.7140995,842.070752054381,14.083219169517708,-9.624030958524248,OnGround,0.14762098413989433,ACS_Inactive,0,0,0,0
1646105166,-4.929661218,3.430890979,4.4699745,-0.699730495,0.076208272,0.036505361,-101.1,-37.8,-18.3,855.985352,850.6704477606311,14.083219298938822,-7.609791460065908,OnGround,0.14762098413989433,ACS_Inactive,0,0,0,0
1646105166,-6.557718347,2.813186951,0.67755907,-0.398094958,-0.0042634,0.053026035,-92.7,-49.95,-26.55,863.0225267,858.3044523768828,14.083219341555976,-7.22218251742908,OnGround,0.14762098413989433,ACS_Inactive,0,0,0,0
1646105167,-3.83551106,4.838681555,4.323928198,-0.409286382,0.035173048,-0.005862175,-82.8,-54.6,-29.25,874.7571973,874.5366684952781,12.55768455048943,-5.796274671881077,OnGround,0.14762098413989433,ACS_Inactive,0,0,0,0
1646105167,-4.97515105,6.725312463,4.898536597,-0.672018396,0.015987749,-0.063684535,-64.8,-62.55,-33.75,878.3363325,877.0548680106671,13.849978757591877,-4.109637582241971,OnGround,0.14762098413989433,ACS_Inactive,0,0,0,0
1646105167,-3.526659045,-0.093373865,1.754949817,-0.68960492,0.050094948,-0.05036141,-46.95,-65.7,-36,886.9286239,883.2194341200822,14.873317945151555,-7.680696273341834,OnGround,0.14762098413989433,ACS_Inactive,0,0,0,0
1646105167,-2.736572498,-2.130839478,-0.572214197,-0.408220532,0.010924962,0.031176111,-35.25,-64.65,-34.65,898.4863687,892.6689849647233,15.509516749949109,-10.304647537101465,OnGround,0.14762098413989433,ACS_Inactive,0,0,0,0
1646105167,-4.738125085,-3.313575098,-8.853757739,-0.444459431,0.05569066,0.020517612,-12.6,-64.95,-34.5,904.7343993,900.127443417306,15.70299216865865,-12.03805083916322,OnGround,0.14762098413989433,ACS_Inactive,0,0,0,0
1646105167,-4.137180469,-8.825027319,4.316745593,-0.522000015,-0.054358348,0.083402759,5.7,-61.35,-31.05,910.7662678,906.7028061073585,15.763879483306345,-16.106436060449493,OnGround,0.14762098413989433,ACS_Inactive,0,0,0,0
1646105167,-4.587290381,1.805228052,0.943315454,-0.367185309,-0.05142726,0.178529867,16.95,-57.15,-27.45,924.1013412,917.4557424063121,15.809410454604915,-11.090564203101987,OnGround,0.14762098413989433,ACS_Inactive,0,0,0,0
