Time,ICM_acceleration_x,ICM_acceleration_y,ICM_acceleration_z,ICM_gyroscope_x,ICM_gyroscope_y,ICM_gyroscope_z,ICM_magnetometer_x,ICM_magnetometer_y,ICM_magnetometer_z,BMP_altitude,Kalman_altitude,Kalman_velocity,Kalman_acceleration,State,servo_Throttle,ACS_state,Projected_Apogee,Apogee_Error,Alpha,target_Throttle
1648852470.57585,9.797073193,0.627280835,-0.703895288,0.018385912,0.012523737,0.009326187,-73.35,53.55,-16.05,0.050059344,0.03342912203304737,0.00171053978614714,0.0008672006792027829,OnGround,0.15,ACS_Inactive,0,0,0,0
1648852470.62267,9.801861597,0.622492432,-0.66319386,0.011990812,0.010924962,0.009859112,-73.05,52.05,-14.7,-0.138614911,-0.07427402829957308,-0.006309623195623924,0.004036385321743671,OnGround,0.15,ACS_Inactive,0,0,0,0
1648852470.67164,9.866505042,0.603338818,-0.730231506,0.011990812,0.015454824,0.0106585,-72.9,52.65,-14.55,-0.138614911,-0.1143183467176343,-0.009449519976673294,0.045277243791280404,OnGround,0.15,ACS_Inactive,0,0,0,0
1648852470.71911,9.876081848,0.588973608,-0.679953271,0.015721287,0.016254212,0.009859112,-74.25,52.95,-15.45,0.427417813,0.22183505428510705,0.047475325824963,0.06706643215384914,OnGround,0.15,ACS_Inactive,0,0,0,0
1648852470.76594,9.83538042,0.658405457,-0.675164868,0.015454824,0.013056662,0.005595712,-74.55,52.95,-14.4,0.426077546,0.3496047651526064,0.07552964252676511,0.050124361563634326,OnGround,0.15,ACS_Inactive,0,0,0,0
1648852470.81486,9.840168823,0.572214197,-0.718260498,0.012257274,0.013589587,0.009326187,-73.35,53.1,-14.55,-0.233628465,-0.011945467445427238,-0.014300150811197912,0.046397527098121,OnGround,0.15,ACS_Inactive,0,0,0,0
1648852470.86169,9.837774622,0.588973608,-0.687135876,0.014122512,0.015454824,0.009326187,-74.55,52.5,-15.9,0.426077546,0.26068188995265756,0.06692846135328422,0.04376999411142726,OnGround,0.15,ACS_Inactive,0,0,0,0
1648852470.90868,9.801861597,0.600944617,-0.672770667,0.013856049,0.013856049,0.005595712,-73.8,53.7,-15.45,0.427417813,0.36585815299961727,0.10191827051522384,0.020498322162027436,OnGround,0.15,ACS_Inactive,0,0,0,0
1648852470.95768,9.725247144,0.435744702,-1.216254443,0.017586524,0.014388974,0.008793262,-74.85,53.1,-15,0.616102028,0.5240467134040719,0.15927250752828975,-0.03571721623031397,OnGround,0.15,ACS_Inactive,0,0,0,0
1648852471.00445,9.809044202,0.660799658,-0.617704028,0.013323124,0.009059725,0.007194487,-73.65,52.35,-15.75,0.711115598,0.6437813643703629,0.2044006110476874,-0.005419848090862399,OnGround,0.15,ACS_Inactive,0,0,0,0
1648852471.05124,9.82101521,0.557848987,-0.732625708,0.008260337,0.010125575,0.008793262,-73.8,52.95,-16.2,0.1437238,0.33447574988997913,0.0635472324871954,0.013376255988248778,OnGround,0.15,ACS_Inactive,0,0,0,0
1648852471.10016,9.840168823,0.4333505,-0.866701001,0.007727412,0.013856049,0.010125575,-73.65,53.85,-15,0.050059344,0.1573796456972488,-0.023483745820295,0.032445985825562934,OnGround,0.15,ACS_Inactive,0,0,0,0
1648852471.14693,9.813832605,0.766144531,-0.399831677,0.011191425,0.015454824,0.006928025,-73.5,52.5,-15.15,0.426077546,0.32547416382359134,0.06463295380506068,0.023598029078730272,OnGround,0.15,ACS_Inactive,0,0,0,0
1648852471.19376,9.96466731,0.579396802,-0.387860669,-0.016254212,0.014921899,0.007993875,-73.5,53.7,-15.45,0.048711567,0.1529655745777752,-0.026864034633142575,0.11330057062305032,OnGround,0.15,ACS_Inactive,0,0,0,0
1648852471.24271,9.880870251,0.979228479,-0.165199915,0.002398162,0.016254212,0.007993875,-74.25,52.5,-15.9,-0.139966443,-0.03162605409899186,-0.12928623382726898,0.09576798022259461,OnGround,0.15,ACS_Inactive,0,0,0,0
1648852471.28954,9.694122522,0.682347473,-0.806845959,-0.014122512,0.022382849,0.00746095,-74.1,52.35,-15.75,-0.139966443,-0.10200545307713293,-0.16712599190463584,-0.02629452031462444,OnGround,0.15,ACS_Inactive,0,0,0,0
1648852471.33642,9.830592017,1.271321082,-0.07182605,0.045565086,0.018119449,0.000266462,-73.8,51.75,-15.45,0.142381766,0.048843793685859685,-0.0679226889451214,0.011513315313147872,OnGround,0.15,ACS_Inactive,0,0,0,0
1648852471.38533,9.713276135,0.871489404,1.280897888,0.065549772,-0.0042634,0.114045945,-73.05,52.5,-15.9,-1.366977657,-0.8446032962693486,-0.6619055428078519,-0.04698206988995068,OnGround,0.15,ACS_Inactive,0,0,0,0
1648852471.43211,75.00076121,-11.02769285,20.3315605,0.2891118,0.247277189,-3.611366107,-73.65,51.45,-16.05,0.992151419,0.3177226646436787,1.2816360409206475,40.28138385650846,OnGround,0.15,ACS_Inactive,0,0,0,0
1648852471.47889,78.4508058,-12.77306586,-0.179565125,0.179595717,-0.346401235,0.325084236,-74.1,52.35,-15.3,2.877996496,1.9771273701576133,4.736504209835445,57.81783972224042,OnGround,0.15,ACS_Inactive,0,0,0,0
1648852471.52788,78.4508058,1.513135449,4.498704919,1.260634033,0.019718224,0.05782236,-73.8,51.3,-15.9,1.463245571,1.7665507155748918,7.386280217573601,64.51535399794709,OnGround,0.15,ACS_Inactive,0,0,0,0
1648852471.57464,78.4508058,6.217741711,31.0049115,0.574226663,0.0063951,-0.026379786,-73.5,52.05,-17.4,2.40681935,2.3251279627351584,10.580101027939339,67.07384608069847,OnGround,0.15,ACS_Inactive,0,0,0,0
1648852471.62142,78.4508058,-7.694964136,-10.86728134,0.599274137,0.050894335,-0.013589587,-73.65,49.2,-17.55,0.047371522,1.096773213349213,12.398247535607108,68.05034729900517,OnGround,0.15,ACS_Inactive,0,0,0,0
1648852471.67040,78.4508058,-5.295974072,30.02089462,0.483629417,-0.340805523,-0.061286372,-73.65,49.95,-18.3,5.144273267,3.9099809283717244,17.40891738406775,68.42490632768259,OnGround,0.15,ACS_Inactive,0,0,0,0
1648852471.71715,78.4508058,1.867477295,-4.606443994,0.417013795,-0.094061258,-0.065816235,-73.05,48.9,-18.15,5.615591487,5.315149463598519,21.017117189793954,68.56731004934255,OnGround,0.15,ACS_Inactive,0,0,0,0
