Time,ICM_acceleration_x,ICM_acceleration_y,ICM_acceleration_z,ICM_gyroscope_x,ICM_gyroscope_y,ICM_gyroscope_z,ICM_magnetometer_x,ICM_magnetometer_y,ICM_magnetometer_z,BMP_altitude,BMP_pressure,BMP_temperature,Kalman_altitude,Kalman_velocity,Kalman_acceleration,State,servo_Throttle,ACS_state,Projected_Apogee,Apogee_Error,Alpha,target_Throttle
1648767563.3389294,9.854534033203125,-0.17238251953125,-0.05746083984375,0.011457887007633588,0.01119142451908397,0.007460949679389314,-18.9,25.65,-3.9,-0.5425365998757047,975.1800928614773,24.011101877549663,-0.36226036663719,-0.016130379879363888,0.03884625005594406,OnGround,0.15,ACS_Inactive,0,0,0,0
1648767563.3894567,9.854534033203125,-0.181959326171875,-0.13646949462890623,0.009326187099236643,0.01279019945038168,0.008526799633587786,-18.45,24.599999999999998,-4.6499999999999995,0.15838543499205185,975.20057076849,24.033732060343027,-0.036434136267834594,0.012569106071820258,0.0514928479899143,OnGround,0.15,ACS_Inactive,0,0,0,0
1648767563.4389281,9.866505041503906,-0.16998831787109375,-0.12449848632812499,0.015454824335877864,0.007727412167938932,0.007194487190839696,-20.099999999999998,26.7,-4.05,-0.4013910370077243,975.1864559288326,24.056362161645666,-0.2628137375805484,-0.012027780536866789,0.0632488285072006,OnGround,0.14762098413989433,ACS_Inactive,0,0,0,0
1648767563.4900866,9.854534033203125,-0.14604630126953125,-0.19632453613281248,0.01119142451908397,0.011724349496183208,0.010658499541984735,-19.8,26.25,-7.05,0.0005670714360293538,975.2188291157588,24.060888172127306,-0.09943300612166397,0.019062273485351774,0.06053510583981168,OnGround,0.14762098413989433,ACS_Inactive,0,0,0,0
1648767563.5369353,9.85692823486328,-0.12689268798828124,-0.1292868896484375,0.008793262122137404,0.007727412167938932,0.0034640123511450386,-19.65,25.65,-4.95,0.0005670714360293538,975.2177188972036,24.0699401833117,-0.036921095804386586,0.0345942696190573,0.06092092602262036,OnGround,0.14762098413989433,ACS_Inactive,0,0,0,0
1648767563.5838501,9.835380419921874,-0.16519991455078123,-0.15083470458984374,0.015188361847328247,0.016787136778625956,0.005595712259541985,-19.05,26.25,-4.8,-0.17640136956188593,975.2177188972036,24.07899218145758,-0.1230654644316437,0.01541554954523041,0.04768565599781012,OnGround,0.14762098413989433,ACS_Inactive,0,0,0,0
1648767563.6328607,9.861716638183593,-0.15083470458984374,-0.12689268798828124,0.010658499541984735,0.011724349496183208,0.003730474839694657,-19.05,24.75,-6.0,0.3092752454099425,975.2058171746583,24.07899218145758,0.1466640981402936,0.09771179909752986,0.05906203657382168,OnGround,0.14762098413989433,ACS_Inactive,0,0,0,0
1648767563.679662,9.8449572265625,-0.15562310791015624,-0.15562310791015624,0.011990811984732825,0.00959264958778626,0.00639509972519084,-19.05,24.75,-5.55,-0.269688404925453,975.1712222542888,24.07899218145758,-0.11127262855410369,0.013433515645513927,0.05282248614621338,OnGround,0.14762098413989433,ACS_Inactive,0,0,0,0
1648767563.7265053,9.816226806640625,-0.15083470458984374,-0.06703764648437499,0.009059724610687023,0.012523736961832063,0.0034640123511450386,-20.4,25.65,-5.7,0.029415420696929415,975.1831246412451,24.07899218145758,-0.023184437525642462,0.04752483313137174,0.032827927594886994,OnGround,0.14762098413989433,ACS_Inactive,0,0,0,0
1648767563.7755237,9.840168823242188,-0.18435352783203124,-0.09337386474609374,0.017852986732824427,0.014388974381679392,0.008526799633587786,-19.05,26.7,-6.0,-0.07349541838071591,975.1939150043872,24.08804416656494,-0.05376032342236815,0.03559423318759358,0.03993788465791277,OnGround,0.14762098413989433,ACS_Inactive,0,0,0,0
1648767563.822319,9.83777462158203,-0.16041151123046873,-0.2059013427734375,0.011457887007633588,0.010125574564885496,0.007727412167938932,-19.8,25.5,-6.0,0.421819815705902,975.1820123863907,24.08804416656494,0.2445075895814111,0.16960858193869854,0.04130951408077699,OnGround,0.14762098413989433,ACS_Inactive,0,0,0,0
1648767563.8691077,9.83777462158203,-0.181959326171875,-0.1149216796875,0.010392037053435116,0.015721286824427482,0.0013323124427480919,-18.3,25.95,-4.8,-0.269688404925453,975.2154957215957,24.083518175641075,-0.07457616157452335,0.015470592084470464,0.041580371144525834,OnGround,0.14762098413989433,ACS_Inactive,0,0,0,0
1648767563.9181426,9.809044201660155,-0.17956512451171874,-0.17956512451171874,0.007460949679389314,0.009326187099236643,0.0061286372366412215,-18.599999999999998,26.7,-5.25,0.12270116700402633,975.1928025154672,24.074466184014454,0.049501275457746116,0.08159081164897661,0.024111027894732937,OnGround,0.14762098413989433,ACS_Inactive,0,0,0,0
1648767563.96494,9.816226806640625,-0.105344873046875,-0.0909796630859375,0.00985911207633588,0.009059724610687023,0.00959264958778626,-20.7,26.099999999999998,-5.7,-0.16678137824256228,975.260882167846,24.083518175641075,-0.0848243427822504,0.007327175107981226,0.021769463850196145,OnGround,0.14762098413989433,ACS_Inactive,0,0,0,0
1648767564.011771,9.842563024902343,-0.14125789794921875,-0.143652099609375,0.00799387465648855,0.012257274473282443,0.005062787282442748,-18.3,24.75,-5.55,0.029415420696929415,975.1593194196073,24.083518175641075,-0.012927506480983855,0.04965840619121583,0.037236194742190705,OnGround,0.14762098413989433,ACS_Inactive,0,0,0,0
