Time,ICM_acceleration_x,ICM_acceleration_y,ICM_acceleration_z,ICM_gyroscope_x,ICM_gyroscope_y,ICM_gyroscope_z,ICM_magnetometer_x,ICM_magnetometer_y,ICM_magnetometer_z,LIS_acceleration_x,LIS_acceleration_y,LIS_acceleration_z,BMP_altitude,BMP_pressure,BMP_temperature,Kalman_altitude,Kalman_velocity,Kalman_acceleration,State,ACS_state
1644287010.8185694,-9.866505041503906,-0.00718260498046875,-0.11731588134765625,0.020251149129770992,0.02131699908396947,0.007194487190839696,52.65,-3.15,-15.75,0.0,-15.322890625,-7.6614453125,-0.17794851608406026,994.4359107598772,26.857339177280664,-0.12492147303485875,-0.3720450344241948,-7.334581467170247,OnGround,ACS_Inactive
1644287010.8788035,-9.756371765136718,-0.05985504150390625,-0.2537853759765625,0.018119449221374047,0.018918836687022902,0.0010658499541984733,53.55,-3.5999999999999996,-15.899999999999999,0.0,-15.322890625,-7.6614453125,-0.06827647433361489,994.4001353706615,26.87995910854079,-0.10386278689158454,-0.8663913896030544,-9.178679506180275,OnGround,ACS_Inactive
1644287010.9387178,-9.828197814941406,-0.04548983154296875,-0.2609679809570312,0.020251149129770992,0.007727412167938932,0.0034640123511450386,55.35,-3.9,-15.299999999999999,0.0,-15.322890625,0.0,-0.15222220942636566,994.4795681287569,26.889007058227435,-0.15879405054209778,-1.358299370173747,-6.881251854853784,OnGround,ACS_Inactive
1644287010.997942,-9.809044201660155,-0.05746083984375,-0.229843359375,0.017586524244274808,0.0061286372366412215,0.005062787282442748,53.85,-4.6499999999999995,-16.5,0.0,-15.322890625,-7.6614453125,0.43731704028000273,994.4656172340858,26.902578958310187,0.1763414060899544,-1.7275599490667897,-8.959277493483508,OnGround,ACS_Inactive
1644287011.0550518,-9.782707983398437,-0.05985504150390625,-0.19393033447265623,0.02211638654961832,0.017320061755725192,0.0061286372366412215,56.25,-4.05,-15.45,-7.6614453125,-15.322890625,-7.6614453125,0.2522706752190477,994.4417619569996,26.90710291848518,0.18079421153515135,-2.2193768346694855,-9.387174863500338,OnGround,ACS_Inactive
1644287011.1119995,-9.87608184814453,-0.06464344482421874,-0.20350714111328125,0.017852986732824427,0.018119449221374047,0.0026646248854961837,53.85,-3.4499999999999997,-15.299999999999999,0.0,-15.322890625,0.0,-0.03390479402266217,994.4864300066349,26.911626875400543,-0.005577321572501313,-2.712204200006794,-6.7319520393859715,OnGround,ACS_Inactive
1644287011.169027,-9.804255798339844,-0.0383072265625,-0.2537853759765625,0.019984686641221373,0.014388974381679392,0.003996937328244275,54.6,-3.9,-15.0,0.0,-15.322890625,-7.6614453125,0.648210080694577,994.4635882890685,26.916150829056278,0.3402548639977949,-2.9677502463283187,-9.005140898546648,OnGround,ACS_Inactive
1644287011.2267246,-9.79946739501953,-0.02633621826171875,-0.2537853759765625,0.01918529917557252,0.011990811984732825,0.003996937328244275,53.55,-4.05,-15.899999999999999,-7.6614453125,-15.322890625,-7.6614453125,-0.3200763280091051,994.4516595157068,26.916150829056278,-0.14305060260860317,-3.616358257848724,-9.614389555890137,OnGround,ACS_Inactive
1644287011.2859862,-9.756371765136718,-0.076614453125,-0.28012159423828126,0.021849924061068705,0.0061286372366412215,0.0053292497709923675,53.55,-5.7,-15.899999999999999,0.0,-15.322890625,0.0,0.4545457912206292,994.474501449554,26.911626875400543,0.146733699325874,-3.900668559489409,-7.067732207678431,OnGround,ACS_Inactive
1644287011.3439312,-9.828197814941406,-0.055066638183593745,-0.17238251953125,0.02105053659541985,0.017586524244274808,0.009326187099236643,53.85,-3.9,-15.299999999999999,0.0,-15.322890625,0.0,0.4545457912206292,994.4407465830634,26.916150829056278,0.25211713844738587,-4.121862149756475,-5.998665359734054,OnGround,ACS_Inactive
1644287011.4008784,-9.789890588378906,-0.08858546142578125,-0.24660277099609373,0.016520674290076337,0.014388974381679392,0.003730474839694657,53.25,-2.85,-17.7,-7.6614453125,-15.322890625,0.0,-0.3114660126443644,994.4397302945216,26.92519872658886,-0.19307446677894097,-4.566865729210315,-5.978722774446661,OnGround,ACS_Inactive
1644287011.4583247,-9.76116016845703,-0.07422025146484375,-0.23223756103515625,0.014921899358778627,0.012257274473282443,0.006928024702290077,54.9,-4.2,-16.5,0.0,-15.322890625,0.0,-0.025292471145877626,994.4625724446497,26.920674779452384,-0.18811807493279348,-4.755389439490178,-5.921728854515523,OnGround,ACS_Inactive
1644287011.5146427,-9.792284790039062,-0.09337386474609374,-0.28490999755859375,0.02051761161832061,0.009326187099236643,0.004263399816793893,54.15,-4.2,-16.05,0.0,-15.322890625,-7.6614453125,-0.11781181298177161,994.4625724446497,26.92519872658886,-0.24715748691991585,-5.02170806073057,-8.899819208214277,OnGround,ACS_Inactive
1644287011.5709891,-9.78031378173828,-0.055066638183593745,-0.16998831787109375,0.018918836687022902,0.009326187099236643,0.002931087374045802,53.85,-4.2,-15.0,-7.6614453125,-15.322890625,-7.6614453125,0.07584589040919895,994.4625724446497,26.92519872658886,-0.15307119746187764,-5.29115379915695,-9.285257378680699,OnGround,ACS_Inactive
1644287011.6287878,-9.82580361328125,-0.06703764648437499,-0.19632453613281248,0.012523736961832063,0.00959264958778626,0.0026646248854961837,53.4,-3.4499999999999997,-15.75,0.0,-15.322890625,-7.6614453125,0.1769890310689871,994.4635882890685,26.920674779452384,-0.0627236441008992,-5.563598699481575,-9.483062965430253,OnGround,ACS_Inactive
