Time,ICM_acceleration_x,ICM_acceleration_y,ICM_acceleration_z,ICM_gyroscope_x,ICM_gyroscope_y,ICM_gyroscope_z,ICM_magnetometer_x,ICM_magnetometer_y,ICM_magnetometer_z,BMP_altitude,BMP_pressure,BMP_temperature,Kalman_altitude,Kalman_velocity,Kalman_acceleration,State,ACS_state
1644450909.2041607,-9.816226806640625,-0.16280571289062498,0.2825157958984375,0.016254211801526718,0.010392037053435116,0.006928024702290077,46.199999999999996,-4.6499999999999995,-10.049999999999999,-0.4155380654735409,980.153961193224,26.613038727082312,-0.28292162786938374,-0.3405134094609713,-6.544372231823091,OnGround,ACS_Inactive
1644450909.254551,-9.86411083984375,-0.09337386474609374,0.22744915771484372,0.022915774015267176,0.01119142451908397,0.003996937328244275,45.449999999999996,-4.6499999999999995,-9.75,-0.09392374057751601,980.2065869061303,26.631135382689536,-0.17549222294046157,-0.7425711714037716,-8.619114311972059,OnGround,ACS_Inactive
1644450909.30389,-9.775525378417969,-0.07900865478515624,0.25139117431640623,0.017320061755725192,0.00985911207633588,0.0026646248854961837,46.5,-3.4499999999999997,-9.0,-0.5683194532317788,980.2268765260757,26.653756128856912,-0.4377086842119213,-1.2183411147566026,-9.33510844760544,OnGround,ACS_Inactive
1644450909.3536277,-9.794678991699218,-0.11252747802734374,0.23223756103515625,0.01918529917557252,0.01279019945038168,0.009059724610687023,44.85,-4.05,-10.2,0.04238474792989302,980.1907422852867,26.66280440450646,-0.16707089402976377,-1.6344645448694528,-9.619032959536707,OnGround,ACS_Inactive
1644450909.400983,-9.835380419921874,-0.062249243164062495,0.2920926025390625,0.014388974381679392,0.014921899358778627,0.00799387465648855,45.9,-4.8,-10.2,-0.3393124850205035,980.1907422852867,26.66732853744179,-0.30755735865868067,-2.1047877257338143,-9.752771270664379,OnGround,ACS_Inactive
1644450909.4484632,-9.821015209960937,-0.00239420166015625,0.24899697265624998,0.018652374198473286,0.010658499541984735,0.003730474839694657,45.449999999999996,-5.1,-9.75,-0.5246993928386212,980.1438278137891,26.66732853744179,-0.4845920207933022,-2.5855221698534425,-9.794977089137234,OnGround,ACS_Inactive
1644450909.4952948,-9.794678991699218,-0.08379705810546874,0.2753331909179687,0.017320061755725192,0.016254211801526718,0.0026646248854961837,45.6,-3.5999999999999996,-10.2,-0.5246993928386212,980.2458959523653,26.68542503658682,-0.5592870178695681,-3.0277673064634465,-9.794769079205327,OnGround,ACS_Inactive
1644450909.5422468,-9.842563024902343,-0.011971008300781249,0.2346317626953125,0.019984686641221373,0.011990811984732825,0.004529862305343512,45.75,-5.3999999999999995,-9.75,-0.13208028316106635,980.1882034088333,26.689949153224006,-0.35045388785430925,-3.3695573932561826,-9.824158854970024,OnGround,ACS_Inactive
1644450909.5892625,-9.79946739501953,-0.12449848632812499,0.2825157958984375,0.017320061755725192,0.0159877493129771,0.00639509972519084,46.35,-5.25,-9.9,-0.317462924941074,980.130509597451,26.689949153224006,-0.3934395337506834,-3.7844629795437754,-9.808847186095306,OnGround,ACS_Inactive
1644450909.636731,-9.840168823242188,-0.1292868896484375,0.19153613281249998,0.014388974381679392,0.011457887007633588,0.0026646248854961837,46.35,-3.3,-10.2,0.1678619154487854,980.2097562507856,26.68542503658682,-0.11403817666513111,-4.058242564240084,-9.828011985849594,OnGround,ACS_Inactive
1644450909.6842012,-9.785102185058593,-0.06703764648437499,0.229843359375,0.014921899358778627,0.011990811984732825,0.0018652374198473284,45.6,-4.5,-9.45,-0.01751816981823826,980.2205326666034,26.689949153224006,-0.12983989260418563,-4.44004646730436,-9.801415123068873,OnGround,ACS_Inactive
1644450909.7309582,-9.773131176757811,-0.13407529296874998,0.28730419921875,0.017053599267175572,0.014388974381679392,0.010125574564885496,46.5,-4.6499999999999995,-10.5,-0.4101529637597905,980.1869326002542,26.680900916690007,-0.38698181034055595,-4.916387769921242,-9.783950309682384,OnGround,ACS_Inactive
1644450909.7777855,-9.773131176757811,-0.12210428466796874,0.26815058593749996,0.015721286824427482,0.007194487190839696,0.006928024702290077,44.85,-3.5999999999999996,-9.45,-0.21383736857266508,980.2218032656376,26.694473266601562,-0.36831721516361354,-5.241936465533343,-9.77716012453149,OnGround,ACS_Inactive
1644450909.8256443,-9.81862100830078,-0.0909796630859375,0.35194764404296874,0.015188361847328247,0.014122511893129772,0.005595712259541985,45.75,-4.6499999999999995,-10.049999999999999,-0.1102069304075181,980.2782272706337,26.69899737671949,-0.3038449371359631,-5.5315344387017715,-9.802651282068318,OnGround,ACS_Inactive
1644450909.8742929,-9.835380419921874,-0.05746083984375,0.2059013427734375,0.017586524244274808,0.011457887007633588,0.004529862305343512,45.75,-3.9,-9.299999999999999,-0.4101529637597905,980.1964368314505,26.694473266601562,-0.4749244532240649,-5.944733050784853,-9.822833183343665,OnGround,ACS_Inactive
1644450909.9239192,-9.8449572265625,-0.1292868896484375,0.277727392578125,0.015454824335877864,0.014655436870229008,0.007727412167938932,45.0,-5.1,-8.549999999999999,-0.12114754152304916,980.2661804573871,26.689949153224006,-0.36596283631418564,-6.172757911868884,-9.836327270404572,OnGround,ACS_Inactive
1644450909.9724383,-9.792284790039062,-0.06464344482421874,0.2825157958984375,0.018119449221374047,0.012257274473282443,0.0005329249770992366,45.75,-4.2,-10.049999999999999,-0.8027733440617872,980.255403585975,26.69899737671949,-0.756226793580463,-6.700349575293684,-9.809141072495718,OnGround,ACS_Inactive
