Time,ICM_acceleration_x,ICM_acceleration_y,ICM_acceleration_z,ICM_gyroscope_x,ICM_gyroscope_y,ICM_gyroscope_z,ICM_magnetometer_x,ICM_magnetometer_y,ICM_magnetometer_z,BMP_altitude,Kalman_velocity,Kalman_altitude,Kalman_acceleration,State,servo_Throttle,ACS_state,Projected_Apogee,Apogee_Error,Alpha,target_Throttle
1646105162,78.4508058,3.416525769,1.963245361,-1.200679973,0.205176116,-0.105252683,-51,-26.1,-81.45,49.61078642,76.97574617,46.95025751706651,68.6549890515389,OnGround,0.14762098413989433,ACS_Inactive,0,0,0,0
1646105162,78.4508058,1.599326709,5.781997009,-1.229990847,0.274989288,-0.119375195,-51,-24.15,-80.4,53.2888501,80.49867267,50.86772317418076,68.6549907702457,PoweredAscent,0.14762098413989433,ACS_Inactive,0,0,0,0
1646105162,78.4508058,1.833958472,4.963180042,-1.241182272,0.386903533,-0.114312408,-51.75,-22.2,-78.9,58.47725392,84.62927399,55.57067181353848,68.65499142673275,PoweredAscent,0.14762098413989433,ACS_Inactive,0,0,0,0
1646105162,78.4508058,1.060631335,3.596090894,-1.182560524,0.401292508,-0.081537521,-52.65,-21.6,-77.25,62.62550988,88.24451302,59.93080152373884,68.6549916774884,PoweredAscent,0.14762098413989433,ACS_Inactive,0,0,0,0
1646105162,78.4508058,0.497993945,0.845153186,-0.921427285,0.371182247,-0.018652374,-52.8,-18.6,-73.65,68.76255602,92.75896597,65.38912598272304,68.65499177326852,PoweredAscent,0.14762098413989433,ACS_Armed,0,0,0,0
1646105162,78.4508058,0.069431848,0.399831677,-0.929954085,0.343470148,-0.046098011,-51.9,-19.95,-71.25,74.33340812,97.19110279,70.91699634852877,68.65499180985326,PoweredAscent,0.14762098413989433,ACS_Armed,0,0,0,0
1646105162,78.4508058,1.929726538,-0.938527051,-0.972854546,0.301102612,-0.026113324,-52.5,-19.8,-72.15,79.71823708,101.2465262,76.35646226374797,68.65499182382739,PoweredAscent,0.14762098413989433,ACS_Armed,0,0,0,0
1646105162,78.4508058,1.271321082,-4.738125085,-0.98404597,0.11884227,-0.012523737,-53.85,-18.45,-70.05,86.33407615,105.8479022,82.52296677207465,68.65499182916503,PoweredAscent,0.14762098413989433,ACS_Armed,0,0,0,0
1646105162,78.4508058,0.641646045,-7.199364392,-0.827366027,-0.002931087,0.012790199,-52.2,-18,-69.3,94.09473159,111.2630042,89.67471073937276,68.65499183120383,PoweredAscent,0.14762098413989433,ACS_Armed,0,0,0,0
1646105163,78.4508058,-0.134075293,-7.678204724,-0.785264954,-0.11990812,-0.036771823,-53.1,-17.25,-68.55,97.9770567,114.3654023,100.67501423455482,68.3365411420851,PoweredAscent,0.14762098413989433,ACS_Armed,0,0,0,0
1646105163,78.4508058,0.299275208,-1.185129822,-0.800986241,-0.222229715,-0.027712099,-52.8,-17.1,-67.95,103.6593167,117.6916015,102.65168662036369,68.53509422116474,PoweredAscent,0.14762098413989433,ACS_Armed,0,0,0,0
1646105163,78.4508058,0.495599744,-1.446097803,-0.741032181,-0.180395105,-0.115911183,-54.15,-16.05,-67.05,110.2924384,121.5804378,107.42245987528987,68.60984205957216,PoweredAscent,0.14762098413989433,ACS_Armed,0,0,0,0
1646105163,78.4508058,0.940921252,3.454832996,-0.709323145,-0.102588058,-0.049828485,-53.25,-17.1,-66.9,117.4029748,125.7947776,113.59998197914739,68.6378693551107,PoweredAscent,0.14762098413989433,ACS_Armed,0,0,0,0
1646105163,78.4508058,2.4516625,4.984727856,-0.652300172,0.002398162,-0.04929556,-51.45,-15.3,-65.55,124.6124342,130.1156027,120.40753618248436,68.64847146257434,PoweredAscent,0.14762098413989433,ACS_Armed,0,0,0,0
1646105163,78.4508058,0.651222852,1.185129822,-0.502015328,0.086067384,-0.037571211,-53.4,-14.85,-64.5,132.8743027,134.9996638,128.11266678089999,68.65250454905637,PoweredAscent,0.14762098413989433,ACS_Armed,0,0,0,0
1646105163,78.4508058,-1.934514941,3.660734338,-0.53425729,0.112713633,0.009059725,-52.05,-13.5,-63.9,140.3790658,139.4267002,135.69375348745754,68.65404224507816,PoweredAscent,0.14762098413989433,ACS_Armed,0,0,0,0
